,WORD CLOUD
0,"('great', 22037)"
1,"('money', 30292)"
2,"('take', 45366)"
3,"('time', 46649)"
4,"('get', 21249)"
5,"('synchron', 45183)"
6,"('work', 51400)"
7,"('good', 21611)"
8,"('watch', 50412)"
9,"('price', 36336)"
10,"('kinda', 26659)"
11,"('upset', 48889)"
12,"('buy', 9830)"
13,"('sim', 42156)"
14,"('card', 10514)"
15,"('mom', 30265)"
16,"('love', 28288)"
17,"('phone', 34815)"
18,"('got', 21811)"
19,"('still', 44172)"
20,"('learn', 27266)"
21,"('use', 49027)"
22,"('happi', 22737)"
23,"('blow', 8807)"
24,"('mind', 29796)"
25,"('sinc', 42264)"
26,"('week', 50603)"
27,"('ago', 4935)"
28,"('continu', 12978)"
29,"('firstli', 19714)"
30,"('seller', 41303)"
31,"('help', 23181)"
32,"('question', 37672)"
33,"('deliv', 14738)"
34,"('littl', 27858)"
35,"('longer', 28114)"
36,"('thought', 46486)"
37,"('wrll', 51712)"
38,"('worth', 51581)"
39,"('wait', 50217)"
40,"('lightsup', 27664)"
41,"('fast', 19162)"
42,"('brilliant', 9367)"
43,"('display', 15799)"
44,"('own', 33729)"
45,"('htc', 23781)"
46,"('sensat', 41388)"
47,"('would', 51603)"
48,"('small', 42745)"
49,"('upgrad', 48841)"
50,"('version', 49625)"
51,"('boy', 9213)"
52,"('wrong', 51717)"
53,"('design', 15012)"
54,"('light', 27630)"
55,"('weight', 50635)"
56,"('screen', 40917)"
57,"('seem', 41212)"
58,"('like', 27696)"
59,"('whole', 50925)"
60,"('new', 31540)"
61,"('dimens', 15512)"
62,"('superphon', 44816)"
63,"('sensatiom', 41389)"
64,"('lcd', 27235)"
65,"('super', 44772)"
66,"('amol', 5589)"
67,"('one', 32871)"
68,"('colour', 12091)"
69,"('eye', 18841)"
70,"('catch', 10765)"
71,"('vibrant', 49734)"
72,"('cant', 10413)"
73,"('emphasis', 17291)"
74,"('much', 30718)"
75,"('im', 24302)"
76,"('glad', 21415)"
77,"('made', 28577)"
78,"('well', 50671)"
79,"('hope', 23609)"
80,"('econom', 16868)"
81,"('option', 33190)"
82,"('date', 14189)"
83,"('inde', 24668)"
84,"('30', 1772)"
85,"('day', 14214)"
86,"('warranti', 50337)"
87,"('expir', 18697)"
88,"('charger', 11132)"
89,"('stop', 44232)"
90,"('charg', 11108)"
91,"('sad', 40344)"
92,"('dispos', 15849)"
93,"('brand', 9252)"
94,"('purchas', 37285)"
95,"('regret', 38888)"
96,"('month', 30353)"
97,"('100', 173)"
98,"('perfect', 34464)"
99,"('intern', 25197)"
100,"('plug', 35587)"
101,"('europ', 18073)"
102,"('state', 44046)"
103,"('criteria', 13602)"
104,"('also', 5332)"
105,"('came', 10207)"
106,"('scratch', 40877)"
107,"('properli', 36931)"
108,"('wireless', 51151)"
109,"('provid', 37091)"
110,"('call', 10096)"
111,"('kept', 26541)"
112,"('drop', 16386)"
113,"('could', 13307)"
114,"('answer', 5895)"
115,"('reicev', 38911)"
116,"('packag', 33827)"
117,"('safe', 40358)"
118,"('secur', 41178)"
119,"('expect', 18573)"
120,"('wonder', 51321)"
121,"('bought', 9140)"
122,"('last', 27111)"
123,"('decemb', 14442)"
124,"('irregular', 25550)"
125,"('nois', 31881)"
126,"('vertic', 49654)"
127,"('línea', 28509)"
128,"('appear', 6166)"
129,"('monday', 30283)"
130,"('pl', 35396)"
131,"('adviert', 4738)"
132,"('regar', 38820)"
133,"('decarlo', 14433)"
134,"('hi', 23311)"
135,"('canguro', 10386)"
136,"('receiv', 38336)"
137,"('12', 418)"
138,"('07', 92)"
139,"('2015', 1163)"
140,"('present', 36238)"
141,"('line', 27767)"
142,"('valid', 49342)"
143,"('thanksannex', 45989)"
144,"('pictur', 35225)"
145,"('deal', 14345)"
146,"('excelent', 18331)"
147,"('product', 36704)"
148,"('i8190', 24003)"
149,"('3g', 2147)"
150,"('band', 7675)"
151,"('worldwid', 51552)"
152,"('excel', 18320)"
153,"('condit', 12591)"
154,"('come', 12133)"
155,"('adapt', 4536)"
156,"('extrem', 18813)"
157,"('pleas', 35526)"
158,"('iphon', 25429)"
159,"('right', 39771)"
160,"('accord', 4286)"
161,"('fact', 18946)"
162,"('lot', 28235)"
163,"('satisfi', 40646)"
164,"('reason', 38236)"
165,"('gave', 21091)"
166,"('star', 43992)"
167,"('never', 31528)"
168,"('told', 46949)"
169,"('volum', 50000)"
170,"('button', 9785)"
171,"('miss', 29962)"
172,"('shabbi', 41706)"
173,"('ok', 32731)"
174,"('speaker', 43521)"
175,"('ring', 39795)"
176,"('tone', 46986)"
177,"('loud', 28262)"
178,"('enough', 17468)"
179,"('alway', 5407)"
180,"('callsi', 10149)"
181,"('recommend', 38519)"
182,"('other', 33394)"
183,"('replac', 39168)"
184,"('howev', 23730)"
185,"('thing', 46341)"
186,"('enjoy', 17451)"
187,"('feautr', 19360)"
188,"('case', 10696)"
189,"('two', 47800)"
190,"('later', 27142)"
191,"('crack', 13445)"
192,"('end', 17382)"
193,"('producto', 36748)"
194,"('took', 47012)"
195,"('verizon', 49595)"
196,"('store', 44273)"
197,"('activ', 4446)"
198,"('compat', 12302)"
199,"('intent', 25137)"
200,"('earpiec', 16755)"
201,"('seal', 41108)"
202,"('rebufrish', 38284)"
203,"('lose', 28226)"
204,"('submers', 44560)"
205,"('far', 19096)"
206,"('amaz', 5449)"
207,"('recomend', 38469)"
208,"('nice', 31668)"
209,"('window', 51093)"
210,"('10', 172)"
211,"('mobil', 30094)"
212,"('featur', 19317)"
213,"('internet', 25217)"
214,"('data', 14166)"
215,"('app', 6142)"
216,"('compani', 12264)"
217,"('allow', 5246)"
218,"('insur', 25091)"
219,"('either', 17047)"
220,"('furthermor', 20736)"
221,"('slight', 42573)"
222,"('delay', 14705)"
223,"('give', 21397)"
224,"('bluetooth', 8860)"
225,"('put', 37369)"
226,"('havent', 22903)"
227,"('figur', 19543)"
228,"('browser', 9445)"
229,"('yet', 52134)"
230,"('load', 27965)"
231,"('googl', 21736)"
232,"('com', 12101)"
233,"('say', 40710)"
234,"('connect', 12747)"
235,"('fail', 18967)"
236,"('experi', 18650)"
237,"('pastbut', 34151)"
238,"('anyon', 5987)"
239,"('gift', 21323)"
240,"('four', 20242)"
241,"('unit', 48409)"
242,"('microphon', 29670)"
243,"('speak', 43519)"
244,"('headset', 23034)"
245,"('back', 7458)"
246,"('defect', 14571)"
247,"('circl', 11606)"
248,"('dead', 14331)"
249,"('pixel', 35368)"
250,"('left', 27302)"
251,"('black', 8579)"
252,"('size', 42384)"
253,"('emoticon', 17273)"
